schedule_id,item_id,time_of_day,days_of_week
1,1,18:23:00,Wed
2,1,17:05:00,"Fri,Wed,Sat,Tue,Sun,Mon"
3,1,23:30:00,"Mon,Sun,Wed"
4,2,13:49:00,"Wed,Tue,Sun"
5,2,00:59:00,"Wed,Thu,Tue"
6,3,02:43:00,"Sun,Fri,Sat,Thu,Tue,Mon,Wed"
7,3,03:17:00,"Sat,Sun,Wed,Tue"
8,4,06:33:00,"Tue,Sat"
9,5,16:55:00,"Sun,Thu,Fri,Mon,Tue,Wed"
10,5,03:33:00,"Sat,Wed,Fri,Tue,Sun,Mon,Thu"
11,5,08:39:00,"Sat,Tue,Sun,Thu,Wed"
12,6,04:14:00,"Tue,Sat,Fri,Thu,Wed"
13,6,20:12:00,"Fri,Sun"
14,7,20:28:00,"Tue,Thu,Sun,Sat,Wed,Mon"
15,8,20:25:00,"Sun,Fri,Thu,Tue,Mon,Wed"
16,9,02:28:00,"Mon,Sat"
17,10,10:07:00,Sat
18,11,00:28:00,"Thu,Sun,Wed,Mon"
19,12,06:14:00,"Thu,Sat,Fri,Mon"
20,12,09:05:00,"Mon,Wed"
21,12,02:32:00,"Fri,Thu,Tue,Sun"
22,13,20:29:00,"Fri,Wed,Tue"
23,13,16:57:00,Wed
24,13,22:56:00,"Sat,Tue"
25,14,23:08:00,Tue
26,15,21:05:00,"Wed,Sat,Sun,Mon,Tue"
27,16,23:35:00,"Tue,Wed,Sun,Sat,Fri,Thu,Mon"
28,16,07:34:00,"Mon,Thu,Wed,Tue,Sat,Fri"
29,16,11:17:00,"Thu,Sat"
30,17,02:31:00,"Wed,Sat"
31,17,08:54:00,"Fri,Tue,Mon,Sun,Wed"
32,17,21:52:00,"Sat,Mon,Fri,Thu,Tue,Wed"
33,18,06:21:00,"Tue,Wed,Sat"
34,18,13:01:00,"Wed,Mon"
35,19,20:20:00,"Mon,Tue,Fri"
36,19,01:00:00,"Sat,Mon,Wed,Fri"
37,20,18:04:00,Mon
38,21,15:53:00,"Wed,Fri,Thu,Mon,Tue,Sat,Sun"
39,21,22:55:00,"Sat,Tue,Mon,Wed"
40,22,19:27:00,"Wed,Sat,Tue,Fri"
41,22,13:33:00,"Mon,Sat,Fri,Thu,Tue,Wed,Sun"
42,22,02:08:00,"Fri,Tue,Wed"
43,23,07:13:00,"Sun,Mon,Sat,Tue,Thu"
44,24,20:10:00,Sat
45,24,17:28:00,"Mon,Fri,Thu,Wed,Sun,Sat,Tue"
46,25,16:09:00,"Wed,Tue"
47,26,12:57:00,Tue
48,26,18:47:00,"Tue,Mon,Fri,Thu,Sun,Wed"
49,26,10:59:00,"Thu,Sat,Mon,Fri,Sun"
50,27,04:23:00,"Sun,Wed,Mon,Fri,Tue,Thu,Sat"
51,27,01:11:00,"Fri,Wed,Mon,Sun,Sat,Thu"
52,28,09:14:00,"Thu,Mon,Fri,Wed,Sun,Sat,Tue"
53,29,12:15:00,"Thu,Fri,Tue,Sat"
54,30,03:09:00,"Thu,Fri,Sat,Mon,Wed"
55,31,16:23:00,"Wed,Thu,Tue,Fri"
56,32,11:32:00,"Sat,Tue,Wed,Thu,Mon,Sun,Fri"
57,32,09:59:00,"Wed,Sat,Tue,Fri,Mon"
58,32,02:56:00,"Tue,Wed,Sat,Sun,Fri,Thu,Mon"
59,33,10:44:00,"Mon,Fri"
60,33,17:56:00,"Thu,Sun"
61,33,00:43:00,"Sun,Mon,Fri,Thu,Sat,Tue,Wed"
62,34,15:45:00,"Tue,Wed,Mon"
63,35,10:43:00,"Thu,Fri,Sun,Tue,Sat"
64,35,18:41:00,"Mon,Sat,Tue,Sun"
65,35,22:01:00,"Mon,Sun,Sat,Wed,Thu,Fri,Tue"
66,36,15:15:00,"Fri,Mon,Sun,Thu,Tue,Wed,Sat"
67,37,15:34:00,"Sat,Mon,Thu,Fri,Sun"
68,37,17:17:00,"Sat,Wed,Sun,Fri"
69,37,01:09:00,"Sat,Tue,Sun,Thu,Mon,Wed,Fri"
70,38,14:16:00,"Wed,Thu"
71,38,05:27:00,"Sat,Wed,Thu,Mon,Tue"
72,39,08:17:00,"Fri,Sat,Mon,Tue"
73,40,17:21:00,"Sat,Thu,Mon,Fri,Sun,Tue"
74,41,00:00:00,"Mon,Tue,Sat,Sun,Fri,Wed"
75,41,06:06:00,"Fri,Mon,Wed,Tue,Sun,Sat"
76,41,19:44:00,"Mon,Fri"
77,42,00:25:00,"Mon,Thu,Wed,Tue,Sun,Fri,Sat"
78,43,12:34:00,Wed
79,43,21:13:00,Sat
80,44,10:44:00,"Tue,Thu,Mon,Sun"
81,44,12:09:00,"Thu,Fri,Tue,Sun,Wed"
82,44,18:41:00,"Sun,Mon,Sat,Wed"
83,45,03:51:00,"Fri,Wed,Sun,Mon,Thu"
84,45,12:12:00,Mon
85,46,04:52:00,Tue
86,47,07:47:00,Sun
87,47,23:59:00,"Wed,Sat,Sun,Fri,Tue,Mon"
88,48,07:11:00,"Fri,Sun,Sat,Wed,Mon,Thu,Tue"
89,48,06:47:00,"Sun,Mon,Wed,Sat,Thu,Fri"
90,48,00:18:00,"Wed,Fri"
91,49,01:42:00,"Fri,Wed,Thu"
92,49,16:47:00,"Thu,Tue,Mon,Wed,Sat,Fri"
93,50,08:48:00,"Thu,Sat"
94,50,02:39:00,"Sat,Fri,Sun,Tue,Mon,Thu,Wed"
95,50,14:24:00,Tue
96,51,06:58:00,"Sun,Wed,Mon"
97,52,13:35:00,"Tue,Fri,Sat"
98,52,13:24:00,"Wed,Mon,Sun,Sat"
99,53,14:27:00,"Fri,Mon,Sat,Tue,Sun,Thu,Wed"
100,53,20:25:00,"Thu,Sun,Mon,Wed,Tue"
101,53,22:03:00,"Sun,Fri,Thu,Sat,Mon,Wed,Tue"
102,54,12:03:00,"Thu,Wed"
103,54,09:57:00,"Sun,Sat,Wed,Thu,Fri,Mon"
104,55,14:02:00,Wed
105,55,09:48:00,Sun
106,56,13:37:00,Mon
107,56,07:57:00,"Tue,Sat,Thu,Wed,Sun,Fri"
108,56,15:22:00,"Sun,Tue"
109,57,10:57:00,"Sun,Sat,Tue,Mon,Thu"
110,57,12:43:00,"Tue,Sat"
111,57,07:20:00,"Fri,Thu,Mon,Sun,Wed,Sat"
112,58,07:54:00,"Sun,Wed,Thu,Tue,Fri,Mon"
113,59,17:20:00,"Wed,Sat,Tue"
114,59,21:27:00,"Sat,Sun,Thu,Mon,Fri,Wed,Tue"
115,60,18:28:00,"Thu,Tue,Wed"
116,60,19:40:00,"Mon,Sun,Tue,Sat,Thu"
117,60,12:20:00,"Wed,Tue,Mon,Sat,Sun"
118,61,22:02:00,Mon
119,61,16:30:00,Sun
120,62,17:46:00,"Wed,Sun,Tue,Mon"
121,62,11:14:00,"Wed,Sun,Thu,Mon,Sat"
122,62,03:32:00,Fri
123,63,20:27:00,"Wed,Mon,Fri,Sat,Tue,Thu"
124,63,21:34:00,"Fri,Sun,Thu,Sat"
125,64,14:17:00,"Sun,Sat,Wed,Thu,Fri,Mon"
126,64,15:11:00,"Wed,Fri,Mon,Sun,Tue,Thu,Sat"
127,64,09:52:00,"Sat,Wed,Tue,Sun,Mon,Thu"
128,65,04:06:00,"Tue,Thu,Mon,Sun"
129,65,17:14:00,"Thu,Sun,Fri,Mon,Tue,Sat,Wed"
130,65,20:16:00,"Sun,Thu,Fri,Sat,Tue"
131,66,03:50:00,"Thu,Fri,Sun"
132,66,00:46:00,Sun
133,66,08:13:00,"Thu,Sun,Wed,Sat,Mon,Tue,Fri"
134,67,00:35:00,"Wed,Thu,Sat,Fri,Sun"
135,67,07:01:00,"Sat,Tue,Wed,Mon"
136,67,22:07:00,"Tue,Sun,Sat,Mon"
137,68,00:55:00,"Mon,Sat"
138,68,14:29:00,Sat
139,69,01:04:00,"Thu,Tue,Fri,Sat,Mon"
140,69,21:42:00,"Mon,Tue,Fri"
141,69,08:08:00,"Mon,Sat,Wed"
142,70,18:37:00,"Wed,Sun"
143,70,03:22:00,"Sat,Wed"
144,71,15:25:00,"Mon,Wed,Sun,Thu,Sat,Tue"
145,71,00:27:00,"Sun,Tue,Sat,Mon,Thu,Fri"
146,72,18:01:00,"Thu,Fri,Sun,Tue,Mon"
147,72,00:50:00,Thu
148,73,05:45:00,"Tue,Thu,Fri,Sun,Wed,Sat,Mon"
149,74,11:48:00,"Thu,Wed,Sat"
150,74,21:08:00,"Sun,Wed,Mon,Sat,Thu,Fri"
151,74,16:57:00,"Sun,Sat,Wed,Tue,Thu"
152,75,09:10:00,"Tue,Wed,Fri,Sat"
153,75,15:00:00,"Wed,Mon,Sat,Tue,Thu,Fri"
154,76,08:08:00,"Mon,Thu,Tue,Fri"
155,76,20:30:00,"Sun,Mon,Wed,Fri,Tue,Sat,Thu"
156,76,15:42:00,"Mon,Thu,Wed,Sat,Fri,Sun,Tue"
157,77,02:19:00,"Tue,Mon,Sat"
158,78,21:32:00,"Mon,Sun,Sat,Fri"
159,79,01:24:00,Sun
160,79,03:56:00,"Mon,Thu"
161,79,02:02:00,"Sun,Thu"
162,80,20:29:00,"Tue,Wed,Sat,Thu,Fri"
163,80,12:33:00,"Fri,Thu,Wed,Sun,Mon,Tue,Sat"
164,80,01:36:00,"Thu,Tue,Mon,Sat"
165,81,21:59:00,"Tue,Mon,Sun,Fri"
166,81,04:52:00,"Tue,Sat,Mon,Wed,Thu,Fri,Sun"
167,82,18:01:00,"Mon,Tue,Sun"
168,82,18:34:00,"Wed,Fri,Sat,Tue,Sun"
169,83,00:15:00,"Thu,Mon,Tue,Sun,Wed"
170,83,23:14:00,"Thu,Wed,Sun"
171,84,02:43:00,"Tue,Sun,Mon"
172,84,20:23:00,Sun
173,85,13:11:00,"Sun,Fri,Wed"
174,85,23:28:00,"Mon,Sat,Tue,Fri,Wed,Thu,Sun"
175,85,01:52:00,"Mon,Fri,Sat,Tue,Wed,Thu,Sun"
176,86,23:34:00,"Fri,Wed,Tue"
177,86,19:47:00,"Mon,Tue,Sat,Fri"
178,86,05:41:00,"Thu,Sat,Sun,Fri,Tue"
179,87,13:45:00,Sat
180,87,12:49:00,"Sun,Wed,Fri,Sat"
181,88,18:51:00,"Tue,Wed,Thu,Mon"
182,89,09:07:00,"Thu,Sat"
183,90,08:09:00,"Sun,Tue,Fri,Wed"
184,91,00:15:00,"Wed,Sun,Fri,Thu,Mon,Tue"
185,92,01:56:00,"Sat,Thu,Fri,Sun,Mon,Tue"
186,93,08:13:00,"Mon,Sun,Fri,Thu"
187,93,20:06:00,"Fri,Wed,Sat,Tue,Mon,Sun,Thu"
188,93,00:06:00,"Mon,Sat,Fri"
189,94,09:46:00,"Fri,Sun,Thu"
190,95,15:25:00,"Tue,Sun"
191,96,16:36:00,"Sun,Thu,Sat,Wed,Mon,Fri,Tue"
192,97,18:46:00,"Fri,Mon,Thu,Wed,Tue"
193,97,06:12:00,"Tue,Fri,Thu,Wed,Sun,Mon,Sat"
194,97,11:01:00,"Sat,Wed,Sun,Thu,Tue,Mon,Fri"
195,98,11:47:00,"Wed,Sat,Mon,Fri,Sun"
196,99,16:48:00,"Sun,Fri,Tue"
197,99,18:05:00,"Sat,Tue"
198,100,08:51:00,"Fri,Wed,Mon,Tue,Thu,Sat"
